"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.94960131836E+03   2.96500000000E+03  3522-15-337 
   2.94525244141E+03   2.96800000000E+03  3489-20-74  
   2.94277807617E+03   2.96600000000E+03  3485-19-34  
   2.93320385742E+03   2.96800000000E+03  3465-20-300 
   2.90488647461E+03   2.95500000000E+03  3415-15-154 
   2.80273339844E+03   2.83000000000E+03  3314-43-7   
   2.71499096680E+03   2.70900000000E+03  3241-5-82   
   1.64439794922E+03   1.62600000000E+03  3384-7-41   
   1.62456774902E+03   1.61300000000E+03  3384-12-10  
   1.59379248047E+03   1.57200000000E+03  3384-16-340 
   1.56612561035E+03   1.54900000000E+03  3384-21-335 
   1.54973107910E+03   1.53100000000E+03  3384-27-13  
   1.53538269043E+03   1.51700000000E+03  3384-32-5   
   1.51925354004E+03   1.49900000000E+03  3384-36-349 
   1.66702917480E+03   1.55800000000E+03  3400-55-321 
   1.67278442383E+03   1.56800000000E+03  3400-60-312 
   1.68207080078E+03   1.58300000000E+03  3400-65-363 
   1.69319702148E+03   1.60000000000E+03  3400-71-349 
   1.66426867676E+03   1.61300000000E+03  3401-55-321 
   1.66921447754E+03   1.62100000000E+03  3401-60-312 
   1.67742163086E+03   1.63100000000E+03  3401-65-363 
   1.68891943359E+03   1.65000000000E+03  3401-71-349 
   1.70097351074E+03   1.67400000000E+03  3397-11-313 
   1.56607275391E+03   1.55500000000E+03  3361-21-339 
   1.53427819824E+03   1.52400000000E+03  3361-32-5   
   1.59344677734E+03   1.57300000000E+03  3346-16-340 
   1.56516906738E+03   1.53700000000E+03  3346-21-339 
   1.53023022461E+03   1.49500000000E+03  3346-32-5   
   1.51370434570E+03   1.47400000000E+03  3346-37-349 
   1.53420983887E+03   1.50600000000E+03  3346-49-54  
   1.55201367188E+03   1.51700000000E+03  3346-60-319 
   1.56857995605E+03   1.52900000000E+03  3346-65-298 
   1.57768041992E+03   1.54400000000E+03  3346-71-13  
   1.68244909668E+03   1.66500000000E+03  3376-6-41   
   1.66783007812E+03   1.64800000000E+03  3376-12-46  
   1.64815307617E+03   1.63500000000E+03  3376-16-362 
   1.62801806641E+03   1.59100000000E+03  3376-21-336 
   1.61275183105E+03   1.56100000000E+03  3376-27-12  
   1.59122741699E+03   1.52700000000E+03  3376-38-1   
   1.64106420898E+03   1.57900000000E+03  3327-56-26  
   1.66005065918E+03   1.60100000000E+03  3327-66-18  
   1.70164318848E+03   1.68800000000E+03  3306-1-32   
   1.63341333008E+03   1.54600000000E+03  3299-38-41  
   2.93122827148E+03   2.98200000000E+03  3311-15-337 
   1.66271313477E+03   1.57900000000E+03  3313-32-7   
   1.65740002441E+03   1.56000000000E+03  3313-38-1   
   1.67474511719E+03   1.60100000000E+03  3313-56-26  
   1.69052465820E+03   1.62600000000E+03  3313-66-18  
   1.67092041016E+03   1.60000000000E+03  3303-56-26  
