"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.94932153320E+03   2.96500000000E+03  3522-15-337 
   2.94471411133E+03   2.96800000000E+03  3489-20-74  
   2.94220751953E+03   2.96600000000E+03  3485-19-34  
   2.93234155273E+03   2.96800000000E+03  3465-20-300 
   2.90333666992E+03   2.95500000000E+03  3415-15-154 
   2.79933691406E+03   2.83000000000E+03  3314-43-7   
   2.70977563477E+03   2.70900000000E+03  3241-5-82   
   1.64129760742E+03   1.62600000000E+03  3384-7-41   
   1.62095397949E+03   1.61300000000E+03  3384-12-10  
   1.58888537598E+03   1.57200000000E+03  3384-16-340 
   1.55970458984E+03   1.54900000000E+03  3384-21-335 
   1.54038940430E+03   1.53100000000E+03  3384-27-13  
   1.52513684082E+03   1.51700000000E+03  3384-32-5   
   1.50689599609E+03   1.49900000000E+03  3384-36-349 
   1.59157495117E+03   1.55800000000E+03  3400-55-321 
   1.59540966797E+03   1.56800000000E+03  3400-60-312 
   1.60397973633E+03   1.58300000000E+03  3400-65-363 
   1.61492150879E+03   1.60000000000E+03  3400-71-349 
   1.58958020020E+03   1.61300000000E+03  3401-55-321 
   1.59208520508E+03   1.62100000000E+03  3401-60-312 
   1.59893896484E+03   1.63100000000E+03  3401-65-363 
   1.61023083496E+03   1.65000000000E+03  3401-71-349 
   1.68701477051E+03   1.67400000000E+03  3397-11-313 
   1.55934973145E+03   1.55500000000E+03  3361-21-339 
   1.52486401367E+03   1.52400000000E+03  3361-32-5   
   1.58842236328E+03   1.57300000000E+03  3346-16-340 
   1.55859936523E+03   1.53700000000E+03  3346-21-339 
   1.52068115234E+03   1.49500000000E+03  3346-32-5   
   1.50261425781E+03   1.47400000000E+03  3346-37-349 
   1.52262951660E+03   1.50600000000E+03  3346-49-54  
   1.54012475586E+03   1.51700000000E+03  3346-60-319 
   1.55884448242E+03   1.52900000000E+03  3346-65-298 
   1.56832080078E+03   1.54400000000E+03  3346-71-13  
   1.67548254395E+03   1.66500000000E+03  3376-6-41   
   1.65781750488E+03   1.64800000000E+03  3376-12-46  
   1.63236169434E+03   1.63500000000E+03  3376-16-362 
   1.60635083008E+03   1.59100000000E+03  3376-21-336 
   1.58463610840E+03   1.56100000000E+03  3376-27-12  
   1.55028564453E+03   1.52700000000E+03  3376-38-1   
   1.57719580078E+03   1.57900000000E+03  3327-56-26  
   1.60026110840E+03   1.60100000000E+03  3327-66-18  
   1.69325793457E+03   1.68800000000E+03  3306-1-32   
   1.57418994141E+03   1.54600000000E+03  3299-38-41  
