"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.94932202148E+03   2.96500000000E+03  3522-15-337 
   2.94471435547E+03   2.96800000000E+03  3489-20-74  
   2.94220776367E+03   2.96600000000E+03  3485-19-34  
   2.93234179688E+03   2.96800000000E+03  3465-20-300 
   2.90333691406E+03   2.95500000000E+03  3415-15-154 
   2.79933715820E+03   2.83000000000E+03  3314-43-7   
   2.70977587891E+03   2.70900000000E+03  3241-5-82   
   1.64129785156E+03   1.62600000000E+03  3384-7-41   
   1.62095410156E+03   1.61300000000E+03  3384-12-10  
   1.58888562012E+03   1.57200000000E+03  3384-16-340 
   1.55970483398E+03   1.54900000000E+03  3384-21-335 
   1.54038964844E+03   1.53100000000E+03  3384-27-13  
   1.52513708496E+03   1.51700000000E+03  3384-32-5   
   1.50689624023E+03   1.49900000000E+03  3384-36-349 
   1.59157690430E+03   1.55800000000E+03  3400-55-321 
   1.59541162109E+03   1.56800000000E+03  3400-60-312 
   1.60398156738E+03   1.58300000000E+03  3400-65-363 
   1.61492333984E+03   1.60000000000E+03  3400-71-349 
   1.58958203125E+03   1.61300000000E+03  3401-55-321 
   1.59208703613E+03   1.62100000000E+03  3401-60-312 
   1.59894079590E+03   1.63100000000E+03  3401-65-363 
   1.61023266602E+03   1.65000000000E+03  3401-71-349 
   1.68701647949E+03   1.67400000000E+03  3397-11-313 
   1.55934997559E+03   1.55500000000E+03  3361-21-339 
   1.52486425781E+03   1.52400000000E+03  3361-32-5   
   1.58842260742E+03   1.57300000000E+03  3346-16-340 
   1.55859960938E+03   1.53700000000E+03  3346-21-339 
   1.52068139648E+03   1.49500000000E+03  3346-32-5   
   1.50261450195E+03   1.47400000000E+03  3346-37-349 
   1.52262976074E+03   1.50600000000E+03  3346-49-54  
   1.54012500000E+03   1.51700000000E+03  3346-60-319 
   1.55884472656E+03   1.52900000000E+03  3346-65-298 
   1.56832104492E+03   1.54400000000E+03  3346-71-13  
   1.67548364258E+03   1.66500000000E+03  3376-6-41   
   1.65781848145E+03   1.64800000000E+03  3376-12-46  
   1.63236279297E+03   1.63500000000E+03  3376-16-362 
   1.60635192871E+03   1.59100000000E+03  3376-21-336 
   1.58463720703E+03   1.56100000000E+03  3376-27-12  
   1.55028674316E+03   1.52700000000E+03  3376-38-1   
   1.57719726562E+03   1.57900000000E+03  3327-56-26  
